asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B08Q7MK117,Random Faux Leather Sheets: Glitter Print Leather 20Pcs 8X12 Inch Grain Texture Embossed Colors Pattern Leather for Earrings Crafts,https://m.media-amazon.com/images/I/91eyym+38yL._AC_UL320_.jpg,https://www.amazon.com/dp/B08Q7MK117,4.3,0,13.99,16.99,7,False,200
B08YDP9Q67,"YYCRAFT Stiff Felt Sheets Thick Felt 9 Inch X 12 Inch - 15 Pcs Pack, White",https://m.media-amazon.com/images/I/61OQ-HmGLkL._AC_UL320_.jpg,https://www.amazon.com/dp/B08YDP9Q67,4.6,0,15.99,0.0,7,False,300
B095C3J3SJ,"Soft Waterproof Synthetic Fabric Material, Marine Vinyl Faux Leather Sheets,Durable,Replacement Renovate for Upholstery Muscle Car,Furniture, Sofa… (54inch x 30inch, Black)",https://m.media-amazon.com/images/I/513G9pyWBfL._AC_UL320_.jpg,https://www.amazon.com/dp/B095C3J3SJ,4.4,0,17.69,0.0,7,False,200
B099NFW353,15 Pieces Halloween Leather Sheet Glitter Synthetic Leather Sheet Autumn Faux Leather Sheet Plant Leather Fabric Sheet for DIY Crafts Decoration Supplies (Classic Style),https://m.media-amazon.com/images/I/91kXoFiKDUL._AC_UL320_.jpg,https://www.amazon.com/dp/B099NFW353,4.5,0,14.99,0.0,7,False,200
B01MCUFWAN,"60"" Poly Cotton Broadcloth Red, Fabric by the Yard",https://m.media-amazon.com/images/I/510QAlE4utL._AC_UL320_.jpg,https://www.amazon.com/dp/B01MCUFWAN,4.5,0,3.99,0.0,7,False,200
B000KNDMLG,"Liquitex BASICS Gesso Surface Prep Medium, 473ml (16-oz) Bottle, White",https://m.media-amazon.com/images/I/61-cQ+FdIrS._AC_UL320_.jpg,https://www.amazon.com/dp/B000KNDMLG,4.7,0,12.15,12.99,8,True,2000
B0BFWVR72D,"Simthread Embroidery Thread 5500 Yards Black 900, 40wt 100% Polyester for Brother, Babylock, Janome, Singer, Pfaff, Husqvarna, Bernina Machine",https://m.media-amazon.com/images/I/71aEJ0T4KbL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BFWVR72D,4.6,0,7.99,0.0,8,True,1000
B076TT3TYN,Embroidery Floss Rainbow Color 50 Skeins Per Pack Cross Stitch Threads Friendship Bracelets Floss Crafts Floss,https://m.media-amazon.com/images/I/81Xa1u9TXwL._AC_UL320_.jpg,https://www.amazon.com/dp/B076TT3TYN,4.7,0,5.99,14.99,8,False,7000
B07YFBRZ3J,"Friendship Bracelet String 50 Skeins Rainbow Color Embroidery Floss Cross Stitch Embroidery Thread Cotton Floss Bracelet Yarn, Craft Floss",https://m.media-amazon.com/images/I/71HofdIB+uL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YFBRZ3J,4.6,0,5.99,0.0,8,False,4000
B002PI751C,"SINGER 01125 Assorted Hand Needles - Betweens, Chenille, Darners, Embroidery, Sharps & Tapestry, Assorted Sizes, 45-Count",https://m.media-amazon.com/images/I/61KckFxj-3L._AC_UL320_.jpg,https://www.amazon.com/dp/B002PI751C,4.7,0,2.37,0.0,8,False,3000
